date,grocery_sales,cpi_fah,restaurant_sales,oil_prices,ppi_farm_products,ppi_food_mfg,ppi_grocery,wages_retail,grocery_units,covid1,covid2,grocery_sales_diff,cpi_fah_diff,restaurant_sales_diff,oil_prices_diff,ppi_farm_products_diff,ppi_food_mfg_diff,ppi_grocery_diff,wages_retail_diff,grocery_units_diff,grocery_sales_yoy,cpi_fah_yoy,restaurant_sales_yoy,oil_prices_yoy,ppi_farm_products_yoy,ppi_food_mfg_yoy,ppi_grocery_yoy,wages_retail_yoy,grocery_units_yoy,cpi_fah_yoy_lag1,cpi_fah_yoy_lag2,cpi_fah_yoy_lag3,cpi_fah_yoy_lag4,cpi_fah_yoy_lag5,cpi_fah_yoy_lag6,cpi_fah_yoy_lag7,cpi_fah_yoy_lag8,cpi_fah_yoy_lag9,cpi_fah_yoy_lag10,cpi_fah_yoy_lag11,cpi_fah_yoy_lag12,oil_prices_yoy_lag1,oil_prices_yoy_lag2,oil_prices_yoy_lag3,oil_prices_yoy_lag4,oil_prices_yoy_lag5,oil_prices_yoy_lag6,oil_prices_yoy_lag7,oil_prices_yoy_lag8,oil_prices_yoy_lag9,oil_prices_yoy_lag10,oil_prices_yoy_lag11,oil_prices_yoy_lag12,ppi_farm_products_yoy_lag1,ppi_farm_products_yoy_lag2,ppi_farm_products_yoy_lag3,ppi_farm_products_yoy_lag4,ppi_farm_products_yoy_lag5,ppi_farm_products_yoy_lag6,ppi_farm_products_yoy_lag7,ppi_farm_products_yoy_lag8,ppi_farm_products_yoy_lag9,ppi_farm_products_yoy_lag10,ppi_farm_products_yoy_lag11,ppi_farm_products_yoy_lag12,ppi_food_mfg_yoy_lag1,ppi_food_mfg_yoy_lag2,ppi_food_mfg_yoy_lag3,ppi_food_mfg_yoy_lag4,ppi_food_mfg_yoy_lag5,ppi_food_mfg_yoy_lag6,ppi_food_mfg_yoy_lag7,ppi_food_mfg_yoy_lag8,ppi_food_mfg_yoy_lag9,ppi_food_mfg_yoy_lag10,ppi_food_mfg_yoy_lag11,ppi_food_mfg_yoy_lag12,ppi_grocery_yoy_lag1,ppi_grocery_yoy_lag2,ppi_grocery_yoy_lag3,ppi_grocery_yoy_lag4,ppi_grocery_yoy_lag5,ppi_grocery_yoy_lag6,ppi_grocery_yoy_lag7,ppi_grocery_yoy_lag8,ppi_grocery_yoy_lag9,ppi_grocery_yoy_lag10,ppi_grocery_yoy_lag11,ppi_grocery_yoy_lag12,wages_retail_yoy_lag1,wages_retail_yoy_lag2,wages_retail_yoy_lag3,wages_retail_yoy_lag4,wages_retail_yoy_lag5,wages_retail_yoy_lag6,wages_retail_yoy_lag7,wages_retail_yoy_lag8,wages_retail_yoy_lag9,wages_retail_yoy_lag10,wages_retail_yoy_lag11,wages_retail_yoy_lag12
2004-01-01,36402.0,183.3,24839.0,34.31,117.4,139.3,121.3,,198.59247135842878,0,0,-512.0,0.39999999999997726,113.0,0.37473684210525704,3.0,1.0999999999999943,4.400000000000006,0.0,-3.219580775957354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-01,35890.0,183.7,24952.0,34.68473684210526,120.4,140.4,125.7,,195.37289058247143,0,0,-512.0,0.39999999999997726,113.0,0.37473684210525704,3.0,1.0999999999999943,4.400000000000006,0.0,-3.219580775957354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01,36365.0,184.1,27054.0,36.74130434782609,129.1,142.4,125.2,,197.52851711026616,0,0,475.0,0.4000000000000057,2102.0,2.056567505720828,8.699999999999989,2.0,-0.5,0.0,2.1556265277947375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,36312.0,184.3,26738.0,36.75,129.6,146.1,123.1,,197.02658708627237,0,0,-53.0,0.20000000000001705,-316.0,0.00869565217391255,0.5,3.6999999999999886,-2.1000000000000085,0.0,-0.5019300239937934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-01,36528.0,186.6,27839.0,40.275,135.1,149.1,122.2,,195.7556270096463,0,0,216.0,2.299999999999983,1101.0,3.5249999999999986,5.5,3.0,-0.8999999999999915,0.0,-1.2709600766260678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-01,36508.0,187.0,27258.0,38.025238095238095,129.7,148.6,122.2,,195.22994652406416,0,0,-20.0,0.4000000000000057,-581.0,-2.249761904761904,-5.400000000000006,-0.5,0.0,0.0,-0.5256804855821429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,36526.0,187.2,28982.0,40.77809523809524,124.4,146.5,124.5,,195.1175213675214,0,0,18.0,0.19999999999998863,1724.0,2.7528571428571453,-5.299999999999983,-2.0999999999999943,2.299999999999997,0.0,-0.11242515654276986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-01,36680.0,187.0,28076.0,44.90318181818182,119.0,144.6,121.0,,196.14973262032086,0,0,154.0,-0.19999999999998863,-906.0,4.125086580086581,-5.400000000000006,-1.9000000000000057,-3.5,0.0,1.0322112527994705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-01,36951.0,186.4,26179.0,45.93571428571428,118.7,143.8,121.3,,198.23497854077252,0,0,271.0,-0.5999999999999943,-1897.0,1.0325324675324623,-0.29999999999999716,-0.799999999999983,0.29999999999999716,0.0,2.085245920451655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,37078.0,187.7,27517.0,53.28047619047619,119.2,143.5,122.9,,197.53862546616944,0,0,127.0,1.299999999999983,1338.0,7.34476190476191,0.5,-0.30000000000001137,1.6000000000000085,0.0,-0.6963530746030813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
