month,P-2025-02,P-2025-04,Actuals
2/1/2025,1.1,,1.8
3/1/2025,1.8,,2.4
4/1/2025,1.9,1.9,
5/1/2025,2.5,2.4,
6/1/2025,2.9,2.7,
7/1/2025,3.1,2.7,
8/1/2025,,3,
9/1/2025,,2.5,
